"Fact_ID","Location_ID","Indicator_ID","Source_ID","Year_ID","Obs_Value"
900,32,20,2,10,1374
901,33,20,2,7,24262
902,33,20,2,8,23193
903,33,20,2,9,22211
904,33,20,2,10,21364
905,34,20,2,7,254
906,34,20,2,8,247
907,34,20,2,9,241
908,34,20,2,10,234
909,35,20,2,7,5655
910,35,20,2,8,5277
911,35,20,2,9,5063
912,35,20,2,10,4773
913,36,20,2,7,30233
914,36,20,2,8,29459
915,36,20,2,9,28735
916,36,20,2,10,27959
917,37,20,2,7,274
918,37,20,2,8,262
919,37,20,2,9,250
920,37,20,2,10,240
921,38,20,2,7,24794
922,38,20,2,8,22981
923,38,20,2,9,21252
924,38,20,2,10,19661
925,39,20,2,7,1572
926,39,20,2,8,1519
927,39,20,2,9,1464
928,39,20,2,10,1415
929,40,20,2,7,428
930,40,20,2,8,413
931,40,20,2,9,396
932,40,20,2,10,380
933,41,20,2,7,2455
934,41,20,2,8,2365
935,41,20,2,9,2276
936,41,20,2,10,2189
937,42,20,2,7,0
938,42,20,2,8,0
939,42,20,2,9,0
940,42,20,2,10,0
941,43,20,2,7,97
942,43,20,2,8,90
943,43,20,2,9,82
944,43,20,2,10,76
945,45,20,2,7,30
946,45,20,2,8,29
947,45,20,2,9,29
948,45,20,2,10,28
949,46,20,2,7,170
950,46,20,2,8,166
951,46,20,2,9,162
952,46,20,2,10,157
953,47,20,2,7,6
954,47,20,2,8,7
955,47,20,2,9,6
956,47,20,2,10,6
957,48,20,2,7,71
958,48,20,2,8,71
959,48,20,2,9,72
960,48,20,2,10,72
961,44,20,2,7,19558
962,44,20,2,8,19082
963,44,20,2,9,18417
964,44,20,2,10,17792
965,49,20,2,7,1694
966,49,20,2,8,1599
967,49,20,2,9,1573
968,49,20,2,10,1475
969,50,20,2,7,68916
970,50,20,2,8,66574
971,50,20,2,9,64215
972,50,20,2,10,62028
973,51,20,2,7,35
974,51,20,2,8,33
975,51,20,2,9,32
976,51,20,2,10,31
977,52,20,2,7,222
978,52,20,2,8,210
979,52,20,2,9,199
980,52,20,2,10,189
981,53,20,2,7,4
982,53,20,2,8,3
983,53,20,2,9,3
984,53,20,2,10,3
985,54,20,2,7,1062
986,54,20,2,8,1023
987,54,20,2,9,984
988,54,20,2,10,942
989,55,20,2,7,675
990,55,20,2,8,667
991,55,20,2,9,659
992,55,20,2,10,650
993,56,20,2,7,8438
994,56,20,2,8,8209
995,56,20,2,9,7971
996,56,20,2,10,7663
997,57,20,2,7,245
998,57,20,2,8,236
999,57,20,2,9,226
1000,57,20,2,10,218
1001,58,20,2,7,948
1002,58,20,2,8,929
1003,58,20,2,9,907
1004,58,20,2,10,887
1005,59,20,2,7,1292
1006,59,20,2,8,1211
1007,59,20,2,9,1137
1008,59,20,2,10,1069
1009,60,20,2,7,9
1010,60,20,2,8,9
1011,60,20,2,9,8
1012,60,20,2,10,8
1013,61,20,2,7,461
1014,61,20,2,8,539
1015,61,20,2,9,444
1016,61,20,2,10,325
1017,62,20,2,7,57842
1018,62,20,2,8,54388
1019,62,20,2,9,51320
1020,62,20,2,10,48613
1021,63,20,2,7,74
1022,63,20,2,8,75
1023,63,20,2,9,76
1024,63,20,2,10,77
1025,64,20,2,7,26
1026,64,20,2,8,25
1027,64,20,2,9,25
1028,64,20,2,10,24
1029,65,20,2,7,511
1030,65,20,2,8,511
1031,65,20,2,9,513
1032,65,20,2,10,513
1033,66,20,2,7,761
1034,66,20,2,8,724
1035,66,20,2,9,719
1036,66,20,2,10,732
1037,67,20,2,7,1506
1038,67,20,2,8,1449
1039,67,20,2,9,1392
1040,67,20,2,10,1337
1041,68,20,2,7,65
1042,68,20,2,8,63
1043,68,20,2,9,61
1044,68,20,2,10,59
1045,69,20,2,7,438
1046,69,20,2,8,440
1047,69,20,2,9,442
1048,69,20,2,10,442
1049,70,20,2,7,12352
1050,70,20,2,8,11712
1051,70,20,2,9,11098
1052,70,20,2,10,10540
1053,71,20,2,7,50
1054,71,20,2,8,47
1055,71,20,2,9,43
1056,71,20,2,10,38
1057,72,20,2,7,4
1058,72,20,2,8,4
1059,72,20,2,9,4
1060,72,20,2,10,3
1061,73,20,2,7,1790
1062,73,20,2,8,1709
1063,73,20,2,9,1642
1064,73,20,2,10,1579
1065,74,20,2,7,15830
1066,74,20,2,8,15676
1067,74,20,2,9,15502
1068,74,20,2,10,15294
1069,75,20,2,7,1858
1070,75,20,2,8,1800
1071,75,20,2,9,1744
1072,75,20,2,10,1681
1073,76,20,2,7,87
1074,76,20,2,8,84
1075,76,20,2,9,79
1076,76,20,2,10,76
1077,77,20,2,7,4534
1078,77,20,2,8,4342
1079,77,20,2,9,4147
1080,77,20,2,10,3960
1081,79,20,2,7,545
1082,79,20,2,8,521
1083,79,20,2,9,502
1084,79,20,2,10,485
1085,80,20,2,7,72
1086,80,20,2,8,67
1087,80,20,2,9,62
1088,80,20,2,10,58
1089,81,20,2,7,2
1090,81,20,2,8,2
1091,81,20,2,9,1
1092,81,20,2,10,2
1093,82,20,2,7,194223
1094,82,20,2,8,175640
1095,82,20,2,9,159551
1096,82,20,2,10,145720
1097,83,20,2,7,21162
1098,83,20,2,8,19940
1099,83,20,2,9,18851
1100,83,20,2,10,17826
1101,84,20,2,7,3104
1102,84,20,2,8,3054
1103,84,20,2,9,3005
1104,84,20,2,10,2937
1105,85,20,2,7,4976
1106,85,20,2,8,4814
